,description,link,location,phone,service_name,va_facility
2292,Includes representatives from a variety of clinical settings working together to ensure effective and coordinated health promotion and preventive services.,http://www.memphis.va.gov/services/Health_Promotion_Disease_Prevention.asp,Memphis VA Medical Center,901-523-8990 Ext. 6389  901-523-8990 Ext. 6291,Health Promotion and Disease Prevention Program,memphis
2293,The medicine program at Memphis delivers a comprehensive range of medical care to veteran patients through general internal medicine and medical subspecialties.,http://www.memphis.va.gov/services/Medicine_Service.asp,Memphis VA Medical Center,901-523-8990,Medicine Service,memphis
2294,"The mental health service at VAMC Memphis provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.memphis.va.gov/services/Mental_Health.asp,Memphis VA Medical Center,901-523-8990,Mental Health,memphis
2295,Our Minority Veterans Program ensures that minority veterans receive benefits and services on par with other veterans.,http://www.memphis.va.gov/services/minority_veterans.asp,VA Medical Center,901-523-8990 Ext. 6944,Minority Veterans Program,memphis
2296,"The MidSouth Healthcare Network (VISN 9) Multiple Sclerosis Center of Excellence, provides clinic appointments, classes, and resources for MS patients.",http://www.memphis.va.gov/services/Multiple_Sclerosis.asp,Memphis VA Medical Center,901-523-8990 Ext. 6814,Multiple Sclerosis,memphis
2297,"The Neurology Service provides services that include evaluation and treatment of diseases affecting the nervous system including the brain, spine, nerves and muscles.",http://www.memphis.va.gov/services/Neurology_Service.asp,Memphis VA Medical Center,901-523-8990 Ext. 2364  901-523-8990 Ext. 6794,Neurology Service,memphis
2298,The nursing service at VAMC Memphis provides quality patient care and promotes wellness.,http://www.memphis.va.gov/services/Nursing_Service.asp,Memphis VA Medical Center,901-523-8990,Nursing Service,memphis
2299,The nutrition and food service at VAMC Memphis maintains a progressive program for both preventive care and for Medical Nutrition Therapy.,http://www.memphis.va.gov/services/Nutrition_and_Food.asp,Memphis VA Medical Center,901-523-8990 Ext. 2665,Nutrition and Food,memphis
2300,Compassionate care for people facing a life-limiting illness or injury.,http://www.memphis.va.gov/services/palliative_care.asp,Memphis VA Medical Center,901-577-7433,Palliative Care,memphis
2301,"The VAMC Memphis pharmacy processes over 5,000 prescriptions daily. Prescriptions may be filled by mail, phone, or online.",http://www.memphis.va.gov/services/pharmacy.asp,Memphis VA Medical Center,800-636-8262,Pharmacy,memphis
2302,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.memphis.va.gov/services/Primary_Care.asp,Memphis VA Medical Center,901-523-8990,Primary Care,memphis
2303,The Sleep Health Center at the Memphis VAMC is an 8-bed facility that is accredited by the American Academy of Sleep Medicine for monitored and unmonitored studies.,http://www.memphis.va.gov/services/Sleep_Health_Center.asp,Memphis VA Medical Center,901-523-8990 Ext. 7990  901-523-8990 Ext. 2364,Sleep Health Center,memphis
2304,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,http://www.memphis.va.gov/services/Social_Work.asp,"Bed Tower, Room F415Memphis VA Medical Center",901-523-8990 Ext. 5152  901-523-8990 Ext. 5151,Social Work,memphis
2305,"The Specialty Care Patient Program includes all of the surgical specialties as well as neurology, radiation, oncology, and audiology.",http://www.memphis.va.gov/services/Specialty_Care.asp,Memphis VA Medical Center,901-523-8990,Specialty Care,memphis
2306,The Spinal Cord Injury Center at VAMC Memphis is one of the largest centers in the VA System and was established in 1998.,http://www.memphis.va.gov/services/Spinal_Cord_Injury.asp,Memphis VA Medical Center,901-523-8990,Spinal Cord Injury,memphis
2307,Our surgery program provides high quality surgical care for our veterans utilizing the latest research and state-of-the-art equipment.,http://www.memphis.va.gov/services/surgery.asp,Memphis VA Medical Center,901-523-8990,Surgery,memphis
2308,Anesthesia provides consultation and guidance in the form of policy and procedure for anesthesiology services and sections throughout VHA's medical centers.,http://www.miami.va.gov/services/Anesthesiology-Service.asp,Bruce W. Carter VA Medical CenterRoom B333,305-575-7000 Ext. 4251,Anesthesiology Service,miami
2309,Please call to schedule or cancel appointments.,http://www.miami.va.gov/services/Appointments-Office.asp,Bruce W. Carter VA Medical Center,305-575-7000 Ext. 2084  888-276-1758,Appointments,miami
2310,"Diagnosis and management of speech, voice, swallowing, language, hearing and vestibular functions relevant to communication.",http://www.miami.va.gov/services/Audiology_and_Speech_Pathology_Service.asp,Bruce W. Carter VA Medical CenterRoom 2A151,305-575-3148,Audiology and Speech Pathology Service,miami
2311,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we are here to support you.",http://www.miami.va.gov/services/Caregiver_Program.asp,Bruce W. Carter VA Medical Center,305-575-7137,Caregiver Program,miami
2312,Chaplains are members of the health care team. The primary objective of the Chaplain Service is to provide for the spiritual welfare of our patients.,http://www.miami.va.gov/services/Chaplain_Service.asp,Bruce W. Carter VA Medical CenterRoom A215,305-575-7000 Ext. 3200,Chaplain Service,miami
2313,Dental services provides oral health services for Veterans beneficiaries.,http://www.miami.va.gov/services/Dental_Services.asp,Bruce W. Carter VA Medical CenterRoom 2A150William Bill Kling VA Clinic,305-575-7000 Ext. 3146  305-575-7000 Ext. 8662,Dental Services,miami
2314,A special program for former Prisoners of War that creates specialized care plans for those who were kept as POWs.,http://www.miami.va.gov/services/Former_POW_Advocate.asp,Bruce W. Carter VA Medical CenterRoom 1D185A,305-575-7000 Ext. 4787,Former POW Advocate,miami
2315,"Community Living Centers, Hospice, Palliative Care, and more.",http://www.miami.va.gov/services/Geriatrics_and_Extended_Care.asp,Bruce W. Carter VA Medical Center,305-575-3559,Geriatrics and Extended Care,miami
2316,"If you are a Veteran who has lost your home, receive the support you have earned to get back on your feet.",http://www.miami.va.gov/services/Homeless_Veterans.asp,National Call Center for Homeless Veterans,877-424-3838,Homeless Veterans,miami
2317,"The Miami VA Healthcare System provides an open, supportive and safe environment for all who served our nation.",http://www.miami.va.gov/services/LGBT_Program.asp,Bruce W. Carter VA Medical Center,305-575-7000 Ext. 3775  305-575-3219,"Lesbian, Gay, Bisexual & Transgender (LGBT) Program",miami
2318,"MOVE is a national weight management program that helps Veterans lose weight, keep it off and improve their health.",http://www.miami.va.gov/services/MOVE.asp,Bruce W. Carter VA Medical CenterRoom A-901,305-575-7000 Ext. 7162,MOVE! Weight Management Program,miami
2319,"The VA Medical Foster Home Program offers an affordable, long-term care option, and thus serves as an alternative to a nursing home or institutional placement.",http://www.miami.va.gov/services/MFH.asp,Bruce W. Carter VA Medical Center,305-575-7000 Ext. 6421,Medical Foster Home Program,miami
2320,Medical Service provides primary care and highly specialized subspecialty care to our Veteran patients.,http://www.miami.va.gov/services/Medical_Service.asp,Bruce W. Carter VA Medical Center,305-575-3160,Medical Service,miami
2321,"Mental health provides several services inlcuding: Vocational and Psychological therapy, Psychotherapy, and behavioral  health.",http://www.miami.va.gov/services/Mental_Health.asp,Bruce W. Carter VA Medical Center4th and 5th Floors,305-575-3215  305-575-7000 Ext. 6862,Mental Health,miami
2322,The CMV will assist the Department of Veterans Affairs in its efforts to address the unique circumstances and special needs of minority veterans.,http://www.miami.va.gov/services/Minority_Veterans.asp,Bruce W. Carter VA Medical Center,305-575-7000 Ext. 6082,Minority Veterans,miami
2323,"The Neurology Service provides excellence in clinical medicine, basic and clinical neurological research, and teaching of Neurology at all levels of medical education.",http://www.miami.va.gov/services/Neurology_Service.asp,Bruce W. Carter VA Medical CenterRoom D906,305-575-3151,Neurology Service,miami
2324,The staff of the Nuclear Medicine Service is dedicated to providing our Veterans with the highest quality most cost effective healthcare services available,http://www.miami.va.gov/services/Nuclear_Medicine.asp,"Bruce W. VA Carter Medical CenterRoom A207, Behind the Canteen",305-575-3144,Nuclear Medicine,miami
2325,"The Miami VA Healthcare System Nursing Service provides professional, competent and compassionate nursing care to veterans.",http://www.miami.va.gov/services/Nursing_Service.asp,Bruce W. Carter VA Medical CenterRoom 2E119,305-575-7000 Ext. 4224,Nursing Service,miami
2326,"Nutrition & Food Services serves the Veterans high quality, nutritionally balanced, appetizing meals and provide optimal nutrition care.",http://www.miami.va.gov/services/Nutrition_and_Food_Service.asp,Bruce W. Carter VA Medical CenterRoom B219,305-575-3070,Nutrition and Food Service,miami
2327,OSAC is a drug and alcohol outpatient treatment clinic with a focus on substance use disorders and psychiatric comorbidities.,http://www.miami.va.gov/services/Outpatient_Substance_Abuse_Clinic.asp,"Bruce W. Carter VA Medical CenterRoom 1E107A, First Floor",305-575-7500,Outpatient Substance Abuse Clinic (OSAC),miami
2328,"Pathology and Laboratory Medicine provides timely, cost effective  laboratory services to Veterans.",http://www.miami.va.gov/services/Pathology_Laboratory_Medicine.asp,Bruce W. Carter VA Medical CenterRoom A306Laboratory  A305,305-575-3158,Pathology and Laboratory Medicine,miami
2329,Prescription refills are available in a number of ways.,http://www.miami.va.gov/services/Pharmacy.asp,Bruce W. Carter VA Medical Center,305-575-3102  305-575-3376,Pharmacy,miami
2330,Physical Medicine & Rehabilitation Service is a support service that provides treatment to a both inpatients and outpatients.,http://www.miami.va.gov/services/Physical_Medicine_and_Rehabilitation_Service.asp,Bruce W. Carter VA Medical CenterRoom 2C106,305-575-7000 Ext. 3080,Physical Medicine and Rehabilitation Service,miami
2331,Veterans have three options when ordering prescription refills.,http://www.miami.va.gov/services/Prescription_Refills.asp,Bruce W. Carter VA Medical Center,305-575-3376  888-276-1785 Ext. 3376,Prescription Refills,miami
2332,"Prosthetic and Sensory Aids Service provides specialized patient care by supplying patients with prescribed prosthetic equipment, sensory aids and devices.",http://www.miami.va.gov/services/Prosthetic_and_Sensory_Aids_Service.asp,Bruce W. Carter VA Medical CenterRoom 2C127,305-575-7000 Ext. 3109,Prosthetic and Sensory Aids Service,miami
2333,Psychologists provide appropriate treatment for all eligible Veterans who require and can benefit from clinical psychological services.,http://www.miami.va.gov/services/Psychology_Service.asp,Bruce W. Carter VA Medical Center,305-575-3215,Psychology Service,miami
2334,The mission of Radiology Service is to provide a broad range of diagnostic and therapeutic procedures to Veterans.,http://www.miami.va.gov/services/Radiology_Service.asp,"Bruce W. Carter VA Medical Center, Room D300William Bill Kling VA Clinic",305-575-3171  954-475-5500,Radiology Service,miami
2335,"Recreation Therapy uses activities for purposeful intervention in physical, emotional, and/or social conditions to promote the growth and development of Veterans.",http://www.miami.va.gov/services/Recreation.asp,Bruce W. Carter VA Medical Center,305-575-7000 Ext. 4143,Recreation and Creative Arts Therapy Service,miami
